,股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型
4363,688212,澳华内镜,-3.9,39.64,41.07,39.05,40.02,-1.61,2.01,0.74,387.86,5851,23336509.0,41.25,5285597600,1154357708,1.688212,沪A
4364,600409,三友化工,-3.9,6.4,6.63,6.38,6.55,-0.26,1.6,0.9,13.74,329759,213241878.0,6.66,13211836467,13211836467,1.600409,沪A
4365,002652,扬子新材,-3.91,2.46,2.57,2.43,2.5,-0.1,2.14,0.98,-46.28,109618,27262311.0,2.56,1259677440,1258331141,0.002652,深A
4366,000537,广宇发展,-3.91,10.33,10.66,10.0,10.58,-0.42,1.48,0.92,35.52,275106,283597136.0,10.75,19239839038,19239839038,0.000537,深A
4367,002532,天山铝业,-3.91,6.64,6.75,6.61,6.7,-0.27,1.86,0.67,7.0,224372,149461656.0,6.91,30888519156,8030237723,0.002532,深A
4368,000828,东莞控股,-3.91,9.59,9.84,9.54,9.63,-0.39,0.73,0.98,14.65,76099,73599145.0,9.98,9968967953,9968955007,0.000828,深A
4369,000990,诚志股份,-3.91,9.34,9.56,9.29,9.47,-0.38,0.79,0.93,19.99,98710,92969352.0,9.72,11703131323,11703122917,0.000990,深A
4370,600423,柳化股份,-3.91,3.44,3.52,3.38,3.51,-0.14,1.3,0.74,206.1,104000,35870654.0,3.58,2747510889,2747510889,1.600423,沪A
4371,300998,宁波方正,-3.91,25.8,26.79,25.3,25.54,-1.05,12.6,0.63,133.64,30172,78770213.0,26.85,2745120000,617588145,0.300998,深A
4372,600699,均胜电子,-3.91,10.56,10.74,10.53,10.65,-0.43,1.4,0.76,-22.86,190899,202610017.0,10.99,14446973629,14446973629,1.600699,沪A
4373,600094,大名城,-3.92,3.19,3.3,3.17,3.23,-0.13,0.94,0.54,-23.72,214084,69059774.0,3.32,7896286932,7262369829,1.600094,沪A
4374,000712,锦龙股份,-3.92,13.0,13.53,12.87,13.0,-0.53,0.89,0.89,-13.9,80026,105349594.0,13.53,11648000000,11638130075,0.000712,深A
4375,601999,出版传媒,-3.92,5.15,5.24,5.1,5.21,-0.21,1.33,0.95,-85.63,73461,37979536.0,5.36,2837210705,2837210705,1.601999,沪A
4376,601216,君正集团,-3.94,4.15,4.24,4.13,4.23,-0.17,0.43,0.91,9.97,359891,150627002.0,4.32,35017772169,35017772169,1.601216,沪A
4377,002226,江南化工,-3.94,5.12,5.24,5.09,5.17,-0.21,1.54,0.73,21.56,206178,106469885.0,5.33,13562485018,6868858358,0.002226,深A
4378,000415,渤海租赁,-3.94,1.95,2.01,1.94,2.0,-0.08,0.57,0.75,-4.09,202472,39842054.0,2.03,12059816500,6917818253,0.000415,深A
4379,600586,金晶科技,-3.95,5.6,5.74,5.55,5.66,-0.23,1.31,0.93,13.78,187577,105791174.0,5.83,8001112000,8001112000,1.600586,沪A
4380,603626,科森科技,-3.95,6.57,6.74,6.55,6.69,-0.27,1.5,0.86,155.7,83157,55069465.0,6.84,3663099492,3645559563,1.603626,沪A
4381,600881,亚泰集团,-3.95,2.43,2.5,2.42,2.48,-0.1,0.62,0.9,-4.32,202457,49674259.0,2.53,7894860019,7894860019,1.600881,沪A
4382,603458,勘设股份,-3.95,9.96,10.19,9.85,10.18,-0.41,2.0,0.79,25.78,62324,62297550.0,10.37,3125489304,3100745676,1.603458,沪A
4383,000607,华媒控股,-3.96,4.12,4.26,4.08,4.2,-0.17,2.77,1.03,850.64,245436,102049064.0,4.29,4192917449,3645861311,0.000607,深A
