,股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型
1122,DTEA,DAVIDsTEA Inc,1.33,2.28,2.35,2.0,2.22,0.03,0.24,1.68,0.98,63962,137671.0,2.25,60255678,60255678,105.DTEA,美股
1123,VET,朱砂能源,1.33,21.3,21.47,20.29,21.41,0.28,1.38,1.08,3.83,2246369,47148532.0,21.02,3457285452,3457285452,106.VET,美股
1124,DTM,DT Midstream Inc,1.33,55.71,55.88,53.86,55.3,0.73,0.72,1.06,17.55,695981,38436838.0,54.98,5389052477,5389052477,106.DTM,美股
1125,JHG,骏利亨德森集团,1.33,27.5,27.89,26.59,26.94,0.36,0.83,0.94,8.46,1399560,38276533.0,27.14,4614156635,4614156635,106.JHG,美股
1129,AMS,American Shared Hospital Servic,1.32,2.3,2.3,2.27,2.27,0.03,0.07,0.39,72.07,4372,9987.0,2.27,13981498,13981498,107.AMS,美股
1130,NJR,新泽西能源,1.32,43.76,43.98,42.92,42.92,0.57,0.53,0.49,28.4,511791,22348532.0,43.19,4207642677,4207642677,106.NJR,美股
1132,IDCC,InterDigital Inc,1.31,59.52,60.54,58.26,58.8,0.77,0.45,0.64,33.23,138986,8255868.0,58.75,1837383650,1837383650,105.IDCC,美股
1133,TCPC,BlackRock TCP Capital Corp,1.31,13.93,13.97,13.7,13.8,0.18,0.23,0.62,6.01,130233,1805168.0,13.75,804697988,804697988,105.TCPC,美股
1136,BELFA,Bel Fuse Inc-A,1.31,22.49,22.49,22.34,22.35,0.29,0.12,1.67,1.94,2539,56898.0,22.2,281496400,48239071,105.BELFA,美股
1137,BTCS,BTCS Inc,1.3,3.11,3.19,3.05,3.09,0.04,0.21,0.3,-2.45,26466,82392.0,3.07,39271167,39271167,105.BTCS,美股
1138,KALA,卡拉制药,1.3,0.78,0.8,0.71,0.78,0.01,0.87,0.48,-0.4,634350,483312.0,0.77,56623324,56623324,105.KALA,美股
1139,INSG,Inseego Corp,1.3,2.34,2.39,2.15,2.27,0.03,1.78,1.35,-5.22,1911893,4364280.0,2.31,251309631,251309631,105.INSG,美股
